original_meal,cleaned_meal,cluster_id
شوربة فيرميسال(200غ)،فاصولياء سوتي(200غ)،دجاج(250غ)،الإيجاص(1وحدة)،ماء معدني,شوربة فيرميسال 200غ فاصولياء سوتي 200غ دجاج 250غ الإيجاص 1وحدة ماء معدني,39
سلاطة متنوعة(150غ)،قرتان بالبذنجان(200غ)،طونة(2وحدات)،تفاح(1وحدة)،ماء معدني,سلاطة متنوعة 150غ قرتان بالبذنجان 200غ طونة 2وحدات تفاح 1وحدة ماء معدني,39
سلاطة متنوعة(200غ)،قرتان بالشوفلور(200غ)،جبن قطع(4وحدات)،موز(1وحدة)،ماء معدني,سلاطة متنوعة 200غ قرتان بالشوفلور 200غ جبن قطع 4وحدات موز 1وحدة ماء معدني,39
سلاطة متنوعة(150غ)،عجائن(200غ)،أوملات(2وحدات)،عصير(1علبة)،ماء معدني,سلاطة متنوعة 150غ عجائن 200غ أوملات 2وحدات عصير 1علبة ماء معدني,39
شوربة لسان العصفور(200غ)،راطاطوي(200غ)،لحم(150غ)،فلان(1علبة)،ماء معدني,شوربة لسان العصفور 200غ راطاطوي 200غ لحم 150غ فلان 1علبة ماء معدني,39
سلاطة متنوعة(150غ)،سباقيتي(200غ)،أوملات+طونة(2+1وحدات)،تفاح(1وحدة)،ماء معدني,سلاطة متنوعة 150غ سباقيتي 200غ أوملات طونة 2 1وحدات تفاح 1وحدة ماء معدني,39
شوربة فريك(200غ)،فاصولياء سوتي(200غ)،لحم قطع(150غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,شوربة فريك 200غ فاصولياء سوتي 200غ لحم قطع 150غ ياؤورت بالفواكه 1علبة ماء معدني,39
سلاطة خضراء(150غ)،كسكس(200غ)،لحم قطع(150غ)،موز(1وحدة)،ماء معدني,سلاطة خضراء 150غ كسكس 200غ لحم قطع 150غ موز 1وحدة ماء معدني,39
سلاطة متنوعة(150غ)،سباقيتي(200غ)،أوملات+طونة(1+1وحدات)،تفاح(1وحدة)،ماء معدني,سلاطة متنوعة 150غ سباقيتي 200غ أوملات طونة 1 1وحدات تفاح 1وحدة ماء معدني,39
سلاطة متنوعة(150غ)،عجائن(200غ)،سمك(200غ)،برتقال(1وحدة)،ماء معدني,سلاطة متنوعة 150غ عجائن 200غ سمك 200غ برتقال 1وحدة ماء معدني,39
شوربة لسان العصفور(200غ)،طاجين الزيتون و الفطر(200غ)،دجاج(250غ)،تفاح(1وحدة)،ماء معدني,شوربة لسان العصفور 200غ طاجين الزيتون و الفطر 200غ دجاج 250غ تفاح 1وحدة ماء معدني,39
كرام ديسار(1علبة)،قهوة حليب(150مل)،بتي بان يالشكولاطة(1وحدة)،مادلان(1وحدة),كرام ديسار 1علبة قهوة حليب 150مل بتي بان يالشكولاطة 1وحدة مادلان 1وحدة,18
شوربة فريك(200غ)،عجائن(200غ)،جبن قطع (4وحدات)،كرام ديسار(1علبة)،ماء معدني,شوربة فريك 200غ عجائن 200غ جبن قطع 4وحدات كرام ديسار 1علبة ماء معدني,39
سلاطة متنوعة(200غ)،سباقيتي(200غ)،سمك(200غ)،عصير(1علبة)،ماء معدني,سلاطة متنوعة 200غ سباقيتي 200غ سمك 200غ عصير 1علبة ماء معدني,39
شوربة لسان العصفور(200غ)،بطاطة كوشة(200غ)،دجاج(250غ)،الإيجاص(1وحدة)،ماء معدني,شوربة لسان العصفور 200غ بطاطة كوشة 200غ دجاج 250غ الإيجاص 1وحدة ماء معدني,39
سلاطة متنوعة(150غ)،قرتان البذنجان(200غ)،أوملات(2وحدات)،تفاح(1وحدة) ، ماء معدني,سلاطة متنوعة 150غ قرتان البذنجان 200غ أوملات 2وحدات تفاح 1وحدة ماء معدني,39
شوربة فريك(200غ)،عجائن(200غ)،لحم(150غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,شوربة فريك 200غ عجائن 200غ لحم 150غ ياؤورت بالفواكه 1علبة ماء معدني,39
سلاطة متوعة(200غ)،تليتلي(200غ)،جبن قطع(4وحدات)،برتقال(1وحدة)،ماء معدني,سلاطة متوعة 200غ تليتلي 200غ جبن قطع 4وحدات برتقال 1وحدة ماء معدني,39
عصير(1علبة)،قهوة حليب(150مل)،تمر(5وحدات)،خبز بالمعجون(60غ),عصير 1علبة قهوة حليب 150مل تمر 5وحدات خبز بالمعجون 60غ,39
سلاطة متنوعة(150غ)،عجائن(200غ)،أوملات(2وحدات)،تفاح(1وحدة)،ماء معدني,سلاطة متنوعة 150غ عجائن 200غ أوملات 2وحدات تفاح 1وحدة ماء معدني,39
فلان(1علبة)،بيض(1وحدة)،قهوة حليب(150مل)،خبز بالمعجون(60غ),فلان 1علبة بيض 1وحدة قهوة حليب 150مل خبز بالمعجون 60غ,3
سلاطة متنوعة(150غ)،سباقيتي(200غ)،طونة(2وحدات)،عصير(1علبة)،ماء معدني,سلاطة متنوعة 150غ سباقيتي 200غ طونة 2وحدات عصير 1علبة ماء معدني,39
شوربة فريك(200غ)،قرتان بالشوفلور(200غ)،قطع لحم(150غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,شوربة فريك 200غ قرتان بالشوفلور 200غ قطع لحم 150غ ياؤورت بالفواكه 1علبة ماء معدني,39
تمر(5وحدات)،قهوة حليب(150مل)،كرواصون(1وحدة)،حلوى جافة(1وحدة),تمر 5وحدات قهوة حليب 150مل كرواصون 1وحدة حلوى جافة 1وحدة,39
شوربة لسان العصفور(150غ)،طاجين الزيتون و الفطر(200غ)،دجاج(250غ)،عصير(1علبة)،ماء معدني,شوربة لسان العصفور 150غ طاجين الزيتون و الفطر 200غ دجاج 250غ عصير 1علبة ماء معدني,39
كرام ديسار(1علبة)،قهوة حليب(150مل)،بتي بان بالشكولاطة(1وحدة)،كرواصون(1وحدة),كرام ديسار 1علبة قهوة حليب 150مل بتي بان بالشكولاطة 1وحدة كرواصون 1وحدة,39
سلاطة خضراء(150غ)،سباقيتي(200غ)،جبن قطع(4وحدات)،تفاح(1وحدة)،ماء معدني,سلاطة خضراء 150غ سباقيتي 200غ جبن قطع 4وحدات تفاح 1وحدة ماء معدني,39
شوربة فريك(150غ)،كسكس(200غ)،لحم(150غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,شوربة فريك 150غ كسكس 200غ لحم 150غ ياؤورت بالفواكه 1علبة ماء معدني,39
سلاطة متنوعة(150غ)،تليتلي(200غ)،سمك(200غ)،برتقال(1وحدة)،ماء معدني,سلاطة متنوعة 150غ تليتلي 200غ سمك 200غ برتقال 1وحدة ماء معدني,39
شوربة لسان العصفور(150غ)،بطاطة كوشة(200غ)،دجاج(250غ)،ياؤورت بالفواكه(1علبة)،ماءمعدني,شوربة لسان العصفور 150غ بطاطة كوشة 200غ دجاج 250غ ياؤورت بالفواكه 1علبة ماءمعدني,39
سلاطة متنوعة(150غ)،راطاطوي(200غ)،بيض(2وحدات)،تفاح(1وحدة)،ماء معدني,سلاطة متنوعة 150غ راطاطوي 200غ بيض 2وحدات تفاح 1وحدة ماء معدني,39
شوربة فريك(150غ)،شطيطحة لحم و الجلبانة(200غ)،فلان(1علبة)،ماء معدني,شوربة فريك 150غ شطيطحة لحم و الجلبانة 200غ فلان 1علبة ماء معدني,39
ياؤورت بالفواكه(1علبة)،قهوة حليب(150مل)،بتي بان بالشكولاطة(1وحدة)،كرواصون(1وحدة),ياؤورت بالفواكه 1علبة قهوة حليب 150مل بتي بان بالشكولاطة 1وحدة كرواصون 1وحدة,39
سلاطة متنوعة(150غ)،عجائن(200غ)،جبن قطع(4وحدات)،برتقال(1وحدة)،ماء معدني,سلاطة متنوعة 150غ عجائن 200غ جبن قطع 4وحدات برتقال 1وحدة ماء معدني,39
شوربة فيرميسال(150غ)،قرتان بالبذنجان(200غ)،لحم(150غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,شوربة فيرميسال 150غ قرتان بالبذنجان 200غ لحم 150غ ياؤورت بالفواكه 1علبة ماء معدني,39
شوربة فريك(150غ)،قرتان بالشوفلور(200غ)،لحم مرحي(150غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,شوربة فريك 150غ قرتان بالشوفلور 200غ لحم مرحي 150غ ياؤورت بالفواكه 1علبة ماء معدني,39
تمر(5مرات)،قهوة حليب(150مل)،كرواصون(1وحدة)،حلوى جافة(1وحدة),تمر 5مرات قهوة حليب 150مل كرواصون 1وحدة حلوى جافة 1وحدة,39
شوربة فيرميسال(150غ)،طاجين الزيتون و الفطر(200غ)،دجاج(250غ)،عصير(1علبة)،ماء معدني,شوربة فيرميسال 150غ طاجين الزيتون و الفطر 200غ دجاج 250غ عصير 1علبة ماء معدني,39
سلاطة خضراء(150غ)،كسكس(200غ)،لحم سوتي(150غ)،موز(1وحدة)،ماء معدني,سلاطة خضراء 150غ كسكس 200غ لحم سوتي 150غ موز 1وحدة ماء معدني,39
شوربة فريك(150غ)،سباقيتي(200غ)،جبن قطع(4وحدات)،تفاح(1وحدة)،ماء معدني,شوربة فريك 150غ سباقيتي 200غ جبن قطع 4وحدات تفاح 1وحدة ماء معدني,39
تمر(5وحدات)،قهوة حليب(150مل)،كرواصون(1وحدة)،بريوش(1وحدة),تمر 5وحدات قهوة حليب 150مل كرواصون 1وحدة بريوش 1وحدة,39
شوربة لسان العصفور(150غ)،بطاطة مرحية(200غ)،دجاج(150غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,شوربة لسان العصفور 150غ بطاطة مرحية 200غ دجاج 150غ ياؤورت بالفواكه 1علبة ماء معدني,39
سلاطة متنوعة(150غ)،راطاطوي(200غ)،أوملات(2وحدات)،تفاح(1وحدة)، ماء معدني,سلاطة متنوعة 150غ راطاطوي 200غ أوملات 2وحدات تفاح 1وحدة ماء معدني,39
شوربة فريك(150غ)،شطيطحة لحم بالجلبانة(200غ)،فلان(1علبة)،ماء معدني,شوربة فريك 150غ شطيطحة لحم بالجلبانة 200غ فلان 1علبة ماء معدني,39
ياؤورت بالفواكه(1علبة)،قهوة حليب(150مل)،حلوى جافة(1وحدة)،كرواصون(1وحدة)،,ياؤورت بالفواكه 1علبة قهوة حليب 150مل حلوى جافة 1وحدة كرواصون 1وحدة,39
سلاطة متنوعة(150غ)،بطاطة كوشة(200غ)،شرائح دجاج(150غ) عصير(1علبة)،ماء معدني,سلاطة متنوعة 150غ بطاطة كوشة 200غ شرائح دجاج 150غ عصير 1علبة ماء معدني,39
سلاطة متنوعة(150غ)،بطاطة كوشة(200غ)،شرائح الدجاج(150غ)،عصير(1علبة)،ماء معدني,سلاطة متنوعة 150غ بطاطة كوشة 200غ شرائح الدجاج 150غ عصير 1علبة ماء معدني,39
سلاطة متنوعة(150غ)،سباقيتي(200غ)،لحم(150غ)،تفاح(1وحدة)،ماء معدني,سلاطة متنوعة 150غ سباقيتي 200غ لحم 150غ تفاح 1وحدة ماء معدني,39
شوربة فيرميسال(150غ)،قرتان بالبذنجان(200غ)،طونة(2وحدات)،عصير(1علبة)،ماء معدني,شوربة فيرميسال 150غ قرتان بالبذنجان 200غ طونة 2وحدات عصير 1علبة ماء معدني,39
فلان(1علبة)،تمر(5وحدات)،قهوة حليب(150مل)،خبز بالمعجون(60غ),فلان 1علبة تمر 5وحدات قهوة حليب 150مل خبز بالمعجون 60غ,39
سلاطة متنوعة(150غ)،قرتان شوفلور(200غ)،جبن قطع(4وحدات)،ياؤورت بالفواكه(1علبة)،ماء معدني,سلاطة متنوعة 150غ قرتان شوفلور 200غ جبن قطع 4وحدات ياؤورت بالفواكه 1علبة ماء معدني,39
شوربة فريك(150غ)،عجائن(200غ)،لحم مرحي(150غ)،ياؤورت بالفواكه(1علبة)،ماء معدمي,شوربة فريك 150غ عجائن 200غ لحم مرحي 150غ ياؤورت بالفواكه 1علبة ماء معدمي,39
ياؤورت بالفواكه(1علبة)،قهوة حليب(150مل)،كرواصون(1وحدة)،حلوى جافة(1وحدة),ياؤورت بالفواكه 1علبة قهوة حليب 150مل كرواصون 1وحدة حلوى جافة 1وحدة,39
شوربة فيرميسال(150غ)،بطاطة مرحية(200غ)،دجاج(250غ)،عصير(1علبة)،ماء معدني,شوربة فيرميسال 150غ بطاطة مرحية 200غ دجاج 250غ عصير 1علبة ماء معدني,39
شوربة فريك(150غ)،قرتان بالبذنجان(200غ)،جبن قطع(4وحدات)،تفاح(1وحدة)،ماء معدني,شوربة فريك 150غ قرتان بالبذنجان 200غ جبن قطع 4وحدات تفاح 1وحدة ماء معدني,39
سلاطة متنوعة(150غ)،سباقيتي(200غ)،سمك(200غ)،برتقال(1وحدة)،ماء معدني,سلاطة متنوعة 150غ سباقيتي 200غ سمك 200غ برتقال 1وحدة ماء معدني,39
شوربة لسان العصفور(150غ)،جلبانة(200غ)،دجاج(250غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,شوربة لسان العصفور 150غ جلبانة 200غ دجاج 250غ ياؤورت بالفواكه 1علبة ماء معدني,39
سلاطة متنوعة(150غ)،راطاطوي(200غ)،أوملات(2وحدات)،تفاح(1وحدة)،ماء معدني,سلاطة متنوعة 150غ راطاطوي 200غ أوملات 2وحدات تفاح 1وحدة ماء معدني,39
شوربة فريك(150غ)،زيتون(200غ)،شطيطحة لحم(150غ)،فلان(1علبة)،ماء معدني,شوربة فريك 150غ زيتون 200غ شطيطحة لحم 150غ فلان 1علبة ماء معدني,39
سلاطة متنوعة(150غ)،عجائن(200غ)،طونة(2وحدات)،برتقال(1وحدة)،ماء معدني,سلاطة متنوعة 150غ عجائن 200غ طونة 2وحدات برتقال 1وحدة ماء معدني,39
"chorba Frick,pate coudée,Thon,Jus,Eau Minirale",chorba Frick pate coudée Thon Jus Eau Minirale,22
"Dattes,café au lait,croissant,gateaux sec",Dattes café au lait croissant gateaux sec,22
"Salade verte,Riz,Poisson,Orange,Eau Minirale",Salade verte Riz Poisson Orange Eau Minirale,22
"Chorba vermocelle ,Tadjine Zitoune aux champignons,Poulet,S.Laitier,Eua Minérale",Chorba vermocelle Tadjine Zitoune aux champignons Poulet S Laitier Eua Minérale,22
"Crème désset,café au lait ,petit Pain au Chocolat,croissants",Crème désset café au lait petit Pain au Chocolat croissants,22
"Salade verte,Haricot Sec ,Frommage Fondu, Pomme,Eau Minérale",Salade verte Haricot Sec Frommage Fondu Pomme Eau Minérale,22
"Chorba Frick,Spaguetti,Viande Sautée ,Crème Dessert,Eau Minérale",Chorba Frick Spaguetti Viande Sautée Crème Dessert Eau Minérale,22
"Dattes,Café au lait, Croissant,Brioche",Dattes Café au lait Croissant Brioche,22
"Salade Varriée,Tlitli,Poisson,Orange,eau minérale",Salade Varriée Tlitli Poisson Orange eau minérale,22
"Chorba Lngues d'oiseau,pomme purée, poulet,S.Laitier,eau Minirale",Chorba Lngues d oiseau pomme purée poulet S Laitier eau Minirale,22
"Oeuf dur,café au lait,petit pain au chocolat,gateaux sec",Oeuf dur café au lait petit pain au chocolat gateaux sec,22
"Salade variée,lentille,oeuf durs,pomme,eau Minérale",Salade variée lentille oeuf durs pomme eau Minérale,22
"Chorba frick,pate couddée,viande,crème dessert,eau minérale",Chorba frick pate couddée viande crème dessert eau minérale,22
"S.laitier,café au  lait,gateau sec,croissant",S laitier café au lait gateau sec croissant,22
"Salade variée,Haricot sec Frommage fondu,Orange ,Eau Minérale",Salade variée Haricot sec Frommage fondu Orange Eau Minérale,22
"Salade varriée,Pomme Bolongère,Poulet Roti,Jus,Eau Mnérale",Salade varriée Pomme Bolongère Poulet Roti Jus Eau Mnérale,46
"Jus,Café au lait,Dattes,Pain,Confiture",Jus Café au lait Dattes Pain Confiture,22
"Salade variée,Spaguetti,Viande,S.Laitier,Eau Minérale",Salade variée Spaguetti Viande S Laitier Eau Minérale,22
"Chorba vermicelle,Ratatouille,Thon,Pomme,Eau Minérale",Chorba vermicelle Ratatouille Thon Pomme Eau Minérale,22
"Dattes,café au lait,Pain,Confiture",Dattes café au lait Pain Confiture,22
"Salade variée,Lentille,Oeuf Durs,Orange,Eau Minérale",Salade variée Lentille Oeuf Durs Orange Eau Minérale,22
"Chorba Frick,Pate Coudée,Viande Haché,S.Latier,Eau Minérale",Chorba Frick Pate Coudée Viande Haché S Latier Eau Minérale,22
سلاطة متنوعة(150غ)،أرز(200غ)،سمك(200غ)،برتقال(1وحدة)،ماء معدني,سلاطة متنوعة 150غ أرز 200غ سمك 200غ برتقال 1وحدة ماء معدني,39
شوربة فيرميسال(150غ)،كسكس(200غ)،دجاج(250غ)،تفاح(1وحدة)،عصير(1علبة)،ماء معدني,شوربة فيرميسال 150غ كسكس 200غ دجاج 250غ تفاح 1وحدة عصير 1علبة ماء معدني,39
سلاطة خضراء(150غ)،فاصولياء(200غ)،جبن(80غ)،تفاح(1وحدة)،ماء معدني,سلاطة خضراء 150غ فاصولياء 200غ جبن 80غ تفاح 1وحدة ماء معدني,39
شوربة فريك(150غ)،سباقيتي(200غ)،لحم سوتي(150غ)،كرام ديسار(1علبة)،ماء معدني,شوربة فريك 150غ سباقيتي 200غ لحم سوتي 150غ كرام ديسار 1علبة ماء معدني,39
ماسيدوان(100غ)،طاجين الزيتون بالفطر(200غ)،دجاج(250غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,ماسيدوان 100غ طاجين الزيتون بالفطر 200غ دجاج 250غ ياؤورت بالفواكه 1علبة ماء معدني,39
سلاطة متنوعة(150غ)،عدس(200غ)،بيض(2وحدات)،تفاح(1وحدة)، ماء معدني,سلاطة متنوعة 150غ عدس 200غ بيض 2وحدات تفاح 1وحدة ماء معدني,4
شوربة فريك(150غ)،عجائن(200غ)،قطع لحم(150غ)،كرام ديسار(1علبة)،ماء معدني,شوربة فريك 150غ عجائن 200غ قطع لحم 150غ كرام ديسار 1علبة ماء معدني,39
سلاطة متنوعة(150غ)،فاصولياء(200غ)،جبن(3وحدات)،برتقال(1وحدة)، ماء معدني,سلاطة متنوعة 150غ فاصولياء 200غ جبن 3وحدات برتقال 1وحدة ماء معدني,39
سلاطة متنوعة(150غ)،بطاطة كوشة(200غ)،دجاج روتي(250غ)،عصير(1علبة)، ماء معدني,سلاطة متنوعة 150غ بطاطة كوشة 200غ دجاج روتي 250غ عصير 1علبة ماء معدني,39
عصير(1علبة)، قهوة حليب(150مل)، تمر(5وحدات)، خبز بالمعجون(60غ),عصير 1علبة قهوة حليب 150مل تمر 5وحدات خبز بالمعجون 60غ,39
سلاطة متنوعة(150غ)، سباقيتي(200غ)، لحم(150غ)،ياؤورت بالفواكه(1علبة)، ماء معدني,سلاطة متنوعة 150غ سباقيتي 200غ لحم 150غ ياؤورت بالفواكه 1علبة ماء معدني,39
شوربة فيرميسال(150غ)،راطاطوي(200غ)،طونة(2وحدات)،تفاح(1وحدة)، ماء معدني,شوربة فيرميسال 150غ راطاطوي 200غ طونة 2وحدات تفاح 1وحدة ماء معدني,39
تمر(5وحدات)،قهوة حليب(150مل)،بتي بان بالشكولاطة(1وحدة)، حلوى جافة(1وحدة),تمر 5وحدات قهوة حليب 150مل بتي بان بالشكولاطة 1وحدة حلوى جافة 1وحدة,39
سلاطة متنوعة(150غ)،عدس(200غ)،بيض(2وحدات)، برتقال(1وحدة)،ماء معدني,سلاطة متنوعة 150غ عدس 200غ بيض 2وحدات برتقال 1وحدة ماء معدني,4
شوربة فريك(150غ)،عجائن(200غ)،لحم قطع(150غ)،ياؤورت بالفواكه(1علبة)، ماء معدني,شوربة فريك 150غ عجائن 200غ لحم قطع 150غ ياؤورت بالفواكه 1علبة ماء معدني,39
شوربة فيرميسال(150غ)،كباب(200غ)،دجاج(250غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,شوربة فيرميسال 150غ كباب 200غ دجاج 250غ ياؤورت بالفواكه 1علبة ماء معدني,39
ماسيدوان(100غ)،طاجين الزيتون و الفطر(200غ)،دجاج(250غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,ماسيدوان 100غ طاجين الزيتون و الفطر 200غ دجاج 250غ ياؤورت بالفواكه 1علبة ماء معدني,39
بيض(1وحدة)،قهوة حليب(150مل)،بتي بان باشكولاطة(1وحدة)،حلوى جافة(1وحدة),بيض 1وحدة قهوة حليب 150مل بتي بان باشكولاطة 1وحدة حلوى جافة 1وحدة,11
ياؤورت بالفواكه(1علبة)،قهوة حليب(150مل)،حلوى جافة(1وحدة)، كرواصون(1وحدة),ياؤورت بالفواكه 1علبة قهوة حليب 150مل حلوى جافة 1وحدة كرواصون 1وحدة,39
سلاطة متنوعة(150غ)،فاصولياء(200غ)،جبن(3وحدات)،برتقال(1وحدة)،ماء معدني,سلاطة متنوعة 150غ فاصولياء 200غ جبن 3وحدات برتقال 1وحدة ماء معدني,39
سلاطة متنوعة(150غ)،بطاطة مرحية(200غ)،دجاج روتي(250غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,سلاطة متنوعة 150غ بطاطة مرحية 200غ دجاج روتي 250غ ياؤورت بالفواكه 1علبة ماء معدني,39
عصير(1علبة)،قهوة حليب(150مل)،تمر(5وحدات)،مادلان(1وحدة)،حلوى جافة(1وحدة),عصير 1علبة قهوة حليب 150مل تمر 5وحدات مادلان 1وحدة حلوى جافة 1وحدة,39
سلاطة متنوعة(150غ)،سباقيتي(200غ)،لحم قطع(150غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,سلاطة متنوعة 150غ سباقيتي 200غ لحم قطع 150غ ياؤورت بالفواكه 1علبة ماء معدني,39
شوربة فيرميسال(150غ)،راطاطوي(200غ)،علبة السردين(1وحدة)،عصير(1علبة)،ماء معدني,شوربة فيرميسال 150غ راطاطوي 200غ علبة السردين 1وحدة عصير 1علبة ماء معدني,39
تمر(5وحدات)،قهوة حليب(150مل)،بتي بان بالشكولاطة(1وحدة)،حلوى جافة(1وحدة),تمر 5وحدات قهوة حليب 150مل بتي بان بالشكولاطة 1وحدة حلوى جافة 1وحدة,39
شوربة فريك(150غ)،شطيطحة لحم بالزيتون(200غ)،تفاح(1وحدة)،ماء معدني,شوربة فريك 150غ شطيطحة لحم بالزيتون 200غ تفاح 1وحدة ماء معدني,39
سلاطة خضراء(150غ)،فاصولياء(200غ)،جبن (80غ)،تفاح(1وحدة)،ماء معدني,سلاطة خضراء 150غ فاصولياء 200غ جبن 80غ تفاح 1وحدة ماء معدني,39
شوربة فريك(150غ)،عجائن(200غ)،لحم قطع(150غ)،كرام ديسار(1علبة)،ماء معدني,شوربة فريك 150غ عجائن 200غ لحم قطع 150غ كرام ديسار 1علبة ماء معدني,39
شوربة فيرميسال(150غ)،راطاطوي(200غ)،علبة السردين(1علبة)،عصير(1علبة)،ماء معدني,شوربة فيرميسال 150غ راطاطوي 200غ علبة السردين 1علبة عصير 1علبة ماء معدني,39
شوربة فريك(150غ)،شطيطحة لحم و الزيتون(200غ)،تفاح(1وحدة)،ماء معدني,شوربة فريك 150غ شطيطحة لحم و الزيتون 200غ تفاح 1وحدة ماء معدني,39
تمر(5وحدات)،قهوة حليب(150مل)،كرواصون(1وحدة)،حلوى جافة(1وحدة),تمر 5وحدات قهوة حليب 150مل كرواصون 1وحدة حلوى جافة 1وحدة,39
شوربة فيرميسال(150غ)،بطاطة مرحية(200غ)،دجاج روتي(250غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,شوربة فيرميسال 150غ بطاطة مرحية 200غ دجاج روتي 250غ ياؤورت بالفواكه 1علبة ماء معدني,39
شوربة فريك(150غ)،تليتلي(200غ)،سمك(200غ)،برتقال(1وحدة)،ماء معدني,شوربة فريك 150غ تليتلي 200غ سمك 200غ برتقال 1وحدة ماء معدني,39
شوربة فريك(150غ)،جلبانة(200غ)،لحم قطع(150غ)،كرام ديسار(1علبة)،ماء معدني,شوربة فريك 150غ جلبانة 200غ لحم قطع 150غ كرام ديسار 1علبة ماء معدني,39
شوربة فيرميسال(150غ)،كباب(200غ)،دجاج روتي(250غ)،ياؤورت بالفواكه(1علبة)، ماء معدني,شوربة فيرميسال 150غ كباب 200غ دجاج روتي 250غ ياؤورت بالفواكه 1علبة ماء معدني,39
سلاطة متنوعة(150غ)،عجائن(200غ)،لحم قطع(150غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,سلاطة متنوعة 150غ عجائن 200غ لحم قطع 150غ ياؤورت بالفواكه 1علبة ماء معدني,39
شوربة فريك(150غ)،راطاطوي(200غ)،علبة سردين(1علبة)،عصير(1علبة)،ماء معدني,شوربة فريك 150غ راطاطوي 200غ علبة سردين 1علبة عصير 1علبة ماء معدني,39
شوربة فيرميسال(150غ)،شطيطحة لحم و زيتون(200غ)،تفاح(1وحدة)،ماء معدني,شوربة فيرميسال 150غ شطيطحة لحم و زيتون 200غ تفاح 1وحدة ماء معدني,39
شوربة فيرميسال(150غ)،كباب(200غ)،دجاج روتي(250غ)،ياؤورت بالفواكه(1علبة)،ماء معدني,شوربة فيرميسال 150غ كباب 200غ دجاج روتي 250غ ياؤورت بالفواكه 1علبة ماء معدني,39
شوربة فيرميسال(150غ)،شطيطحة لحم و الزيتون(200غ)،تفاح(1وحدة)،ماء معدني,شوربة فيرميسال 150غ شطيطحة لحم و الزيتون 200غ تفاح 1وحدة ماء معدني,39
سلاطة متنوعة(150غ)،أرز(200غ)،سمك(200غ)،برتقال(1وحدة)،ماء معدني(1وحدة),سلاطة متنوعة 150غ أرز 200غ سمك 200غ برتقال 1وحدة ماء معدني 1وحدة,39
شوربة فيرميسال(150غ)،بطاطة مرحية(200غ)،دجاج روتي(250غ)،ياؤورت بالفواكه(1وحدة)،ماء معدني(1وحدة),شوربة فيرميسال 150غ بطاطة مرحية 200غ دجاج روتي 250غ ياؤورت بالفواكه 1وحدة ماء معدني 1وحدة,39
سلاطة خضراء(150غ)،فاصولياء(200غ)،جبن(80غ)،تفاح(1وحدة)،ماء معدني(1وحدة),سلاطة خضراء 150غ فاصولياء 200غ جبن 80غ تفاح 1وحدة ماء معدني 1وحدة,39
شوربة فريك(150غ)،سباقيتي(200غ)،لحم سوتي(150غ)،كرام ديسار(1وحدة)،ماء معدني(1وحدة),شوربة فريك 150غ سباقيتي 200غ لحم سوتي 150غ كرام ديسار 1وحدة ماء معدني 1وحدة,39
تمر(5وحدات)، قهوة حليب(150مل)،كرواصون(1وحدة)،بريوش(1وحدة),تمر 5وحدات قهوة حليب 150مل كرواصون 1وحدة بريوش 1وحدة,39
شوربة فريك(150غ)،تيتلي(200غ)،سمك(200غ)،عصير(1وحدة)،ماء معدني(1وحدة),شوربة فريك 150غ تيتلي 200غ سمك 200غ عصير 1وحدة ماء معدني 1وحدة,39
ماسيدوان(100غ)،طاجين الزيتون و الفطر(200غ)،دجاج(250غ)،ياؤورت بالفواكه(1وحدة)،ماء معدني(1وحدة),ماسيدوان 100غ طاجين الزيتون و الفطر 200غ دجاج 250غ ياؤورت بالفواكه 1وحدة ماء معدني 1وحدة,39
عصير(1وحدة)،قهوة حليب(150مل)،بتي بان بالشكولاطة(1وحدة)،حلوى جافة(1وحدة),عصير 1وحدة قهوة حليب 150مل بتي بان بالشكولاطة 1وحدة حلوى جافة 1وحدة,39
سلاطة متنوعة(150غ)،عدس(200غ)،بيض(2وحدات)،برتقال(1وحدة)،ماء معدني(1وحدة),سلاطة متنوعة 150غ عدس 200غ بيض 2وحدات برتقال 1وحدة ماء معدني 1وحدة,4
شوربة فريك(150غ)،عجائن(200غ)،لحم قطع(150غ)،كرام ديسار(1علبة)،ماء معدني(1وحدة),شوربة فريك 150غ عجائن 200غ لحم قطع 150غ كرام ديسار 1علبة ماء معدني 1وحدة,39
كسكس بالزبيب، لبن، تفاح، بريوش، ماء معدني,كسكس بالزبيب لبن تفاح بريوش ماء معدني,32
